series,seriesLabel,wikipediaPage,image,startTime,follower,score,locations,countries,genres,maleCreatorsCount,femaleCreatorsCount,otherCreatorsCount
http://www.wikidata.org/entity/Q7990846,"What's Up, Warthogs! – Die West Hill Highschool News",https://en.wikipedia.org/wiki/What%27s_Up_Warthogs!,,2011,,,,Canada,teen sitcom,1,0,0
http://www.wikidata.org/entity/Q251904,Journeyman – Der Zeitspringer,https://en.wikipedia.org/wiki/Journeyman_(TV_series),,2007,,,San Francisco,United States of America,"drama television series, science fiction television program",1,0,0
http://www.wikidata.org/entity/Q13362337,A Young Doctor’s Notebook,https://en.wikipedia.org/wiki/A_Young_Doctor%27s_Notebook_(TV_series),,2012,,,,United Kingdom,"film based on literature, comedy",1,0,0
http://www.wikidata.org/entity/Q7432404,School of Comedy,https://en.wikipedia.org/wiki/School_of_Comedy,,2009,,,,United Kingdom,comedy television series,1,0,0
http://www.wikidata.org/entity/Q2806676,100 Questions,https://en.wikipedia.org/wiki/100_Questions,,2010,,,New York City,United States of America,American television sitcom,1,0,0
http://www.wikidata.org/entity/Q717304,Kröd Mändoon and the Flaming Sword of Fire,https://en.wikipedia.org/wiki/Kr%C3%B6d_M%C3%A4ndoon_and_the_Flaming_Sword_of_Fire,,2009,,,,"United Kingdom, United States of America","comedy television series, fantasy television series, LGBT-related television series",1,0,0
http://www.wikidata.org/entity/Q102395358,Kongen befaler,https://en.wikipedia.org/wiki/Kongen_befaler,,2019,,,,Norway,"comedy television program, panel game, game show",1,0,0
http://www.wikidata.org/entity/Q20899617,Taskmaster,https://en.wikipedia.org/wiki/Taskmaster_(TV_series),,2015,1500000,,,United Kingdom,"comedy television series, panel game, game show",1,0,0
http://www.wikidata.org/entity/Q30604069,Taskmaster,https://en.wikipedia.org/wiki/Taskmaster_(American_TV_series),,2018,,,,United States of America,"comedy television series, panel game",1,0,0
http://www.wikidata.org/entity/Q16966989,We Need Answers,https://en.wikipedia.org/wiki/We_Need_Answers,,2009,,,,United Kingdom,"comedy television series, panel game",3,0,0
http://www.wikidata.org/entity/Q94442963,Bagdad nach dem Sturm,https://en.wikipedia.org/wiki/Baghdad_Central_(TV_series),,2020,,,,United Kingdom,"crime thriller film, neo-noir",1,1,0
http://www.wikidata.org/entity/Q20712570,The Living and the Dead,https://en.wikipedia.org/wiki/The_Living_and_the_Dead_(TV_series),,2016,,,,United Kingdom,"horror television series, thriller television series, drama television series",0,1,0
http://www.wikidata.org/entity/Q1741389,The Trial of Tony Blair,https://en.wikipedia.org/wiki/The_Trial_of_Tony_Blair,,2007,,,,United Kingdom,drama television series,2,0,0
http://www.wikidata.org/entity/Q7717682,The Big Impression,https://en.wikipedia.org/wiki/The_Big_Impression,,2000,,,,United Kingdom,comedy television series,2,0,0
http://www.wikidata.org/entity/Q1247377,New Amsterdam,https://en.wikipedia.org/wiki/New_Amsterdam_(2008_TV_series),,2008,,,New York City,United States of America,police procedural,1,0,0
http://www.wikidata.org/entity/Q71816126,Magkaagaw,https://en.wikipedia.org/wiki/Magkaagaw,,2019,,,,Philippines,,1,0,0
http://www.wikidata.org/entity/Q89837647,Diarios de la cuarentena,https://en.wikipedia.org/wiki/Diarios_de_la_cuarentena,,2020,,,,Spain,comedy television program,2,0,0
http://www.wikidata.org/entity/Q119149843,Everything Now (Fernsehserie),https://en.wikipedia.org/wiki/Everything_Now_(TV_series),,2023,,,,United Kingdom,comedy drama,1,3,0
http://www.wikidata.org/entity/Q116798186,Renegade Nell,https://en.wikipedia.org/wiki/Renegade_Nell,,2024,,,,United Kingdom,"adventure fiction, historical fantasy",1,3,0
http://www.wikidata.org/entity/Q6693103,Lowdown,https://en.wikipedia.org/wiki/Lowdown_(TV_series),,2010,,,,Australia,comedy television series,0,1,0
http://www.wikidata.org/entity/Q6970755,Downtown Precinct,https://en.wikipedia.org/wiki/Downtown_Precinct,,2011,,,,Israel,police procedural,1,0,0
http://www.wikidata.org/entity/Q3968478,State of Mind,https://en.wikipedia.org/wiki/State_of_Mind_(TV_series),,2007,,,Los Angeles,United States of America,comedy drama,0,1,0
http://www.wikidata.org/entity/Q30314867,Atlanta Medical,https://en.wikipedia.org/wiki/The_Resident_(TV_series),http://commons.wikimedia.org/wiki/Special:FilePath/TheResidentLogoSeason2.svg,2018,70290,,Atlanta,United States of America,medical drama,0,1,0
http://www.wikidata.org/entity/Q2725194,This Life,https://en.wikipedia.org/wiki/This_Life_(1996_TV_series),,1996,,,London,United Kingdom,"LGBT-related television series, drama television series",0,1,0
http://www.wikidata.org/entity/Q16997000,Inside Amy Schumer,https://en.wikipedia.org/wiki/Inside_Amy_Schumer,,2013,,,,United States of America,"sketch comedy, comedy film",0,1,0
http://www.wikidata.org/entity/Q6803007,Me Too!,https://en.wikipedia.org/wiki/Me_Too!_(British_TV_series),,2006,100000,,"London, Manchester, Newcastle upon Tyne",United Kingdom,,1,0,0
http://www.wikidata.org/entity/Q7738409,The Gruen Transfer,https://en.wikipedia.org/wiki/Gruen_(TV_series),,2008,,,,Australia,,1,0,0
http://www.wikidata.org/entity/Q7743714,The Joy of Sets,https://en.wikipedia.org/wiki/The_Joy_of_Sets,,2011,,,,Australia,"comedy television series, comedy",1,0,0
http://www.wikidata.org/entity/Q5240307,David Tench Tonight,https://en.wikipedia.org/wiki/David_Tench_Tonight,,2006,,,,Australia,talk show,1,0,0
http://www.wikidata.org/entity/Q17514455,Back of the Shop,https://en.wikipedia.org/wiki/Back_of_the_Shop,,2014,,,,United States of America,,1,0,0
